 20240731-150024,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_id_only,[exp_id] DCN_amazonelectronics_x1_id_only,[dataset_id] AmazonElectronics_x1_id_only,[train] N.A.,[val] gAUC: 0.874565 - AUC: 0.876382 - logloss: 0.442461,[test] gAUC: 0.874565 - AUC: 0.876382 - logloss: 0.442461
 20240731-155531,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_v2 --gpu 1,[exp_id] DCN_amazonelectronics_x1_filter_cosine_v2,[dataset_id] AmazonElectronics_x1_filter_v2,[train] N.A.,[val] gAUC: 0.874352 - AUC: 0.876066 - logloss: 0.447617,[test] gAUC: 0.874352 - AUC: 0.876066 - logloss: 0.447617
 20240731-155820,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_pre_v2,[exp_id] DCN_amazonelectronics_x1_filter_cosine_pre_v2,[dataset_id] AmazonElectronics_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.876026 - AUC: 0.878265 - logloss: 0.443725,[test] gAUC: 0.876026 - AUC: 0.878265 - logloss: 0.443725
 20240731-161923,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_pre_v2,[exp_id] DCN_amazonelectronics_x1_filter_cosine_pre_v2,[dataset_id] AmazonElectronics_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.876343 - AUC: 0.877930 - logloss: 0.441176,[test] gAUC: 0.876343 - AUC: 0.877930 - logloss: 0.441176
 20240731-162700,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_v2 --gpu 1,[exp_id] DCN_amazonelectronics_x1_filter_cosine_v2,[dataset_id] AmazonElectronics_x1_filter_v2,[train] N.A.,[val] gAUC: 0.875116 - AUC: 0.877092 - logloss: 0.445375,[test] gAUC: 0.875116 - AUC: 0.877092 - logloss: 0.445375
 20240731-165416,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_pre_v2,[exp_id] DCN_amazonelectronics_x1_filter_cosine_pre_v2,[dataset_id] AmazonElectronics_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.875834 - AUC: 0.878370 - logloss: 0.443689,[test] gAUC: 0.875834 - AUC: 0.878370 - logloss: 0.443689
 20240731-165501,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_v2 --gpu 1,[exp_id] DCN_amazonelectronics_x1_filter_cosine_v2,[dataset_id] AmazonElectronics_x1_filter_v2,[train] N.A.,[val] gAUC: 0.874586 - AUC: 0.876340 - logloss: 0.447467,[test] gAUC: 0.874586 - AUC: 0.876340 - logloss: 0.447467
 20240731-174520,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_attn_score_v2 --gpu 1,[exp_id] DCN_amazonelectronics_x1_filter_attn_score_v2,[dataset_id] AmazonElectronics_x1_filter_v2,[train] N.A.,[val] gAUC: 0.878172 - AUC: 0.879169 - logloss: 0.437292,[test] gAUC: 0.878172 - AUC: 0.879169 - logloss: 0.437292
 20240731-175008,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_attn_score_pre_v2,[exp_id] DCN_amazonelectronics_x1_filter_attn_score_pre_v2,[dataset_id] AmazonElectronics_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.875932 - AUC: 0.876939 - logloss: 0.440163,[test] gAUC: 0.875932 - AUC: 0.876939 - logloss: 0.440163
 20240731-195041,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_attn_score_v2 --gpu 1,[exp_id] DCN_amazonelectronics_x1_filter_attn_score_v2,[dataset_id] AmazonElectronics_x1_filter_v2,[train] N.A.,[val] gAUC: 0.864030 - AUC: 0.865002 - logloss: 0.456402,[test] gAUC: 0.864030 - AUC: 0.865002 - logloss: 0.456402
 20240731-205445,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_v2 --gpu 1,[exp_id] DCN_amazonelectronics_x1_filter_cosine_v2,[dataset_id] AmazonElectronics_x1_filter_v2,[train] N.A.,[val] gAUC: 0.874191 - AUC: 0.876300 - logloss: 0.446820,[test] gAUC: 0.874191 - AUC: 0.876300 - logloss: 0.446820
 20240731-210331,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_attn_score_pre_v2,[exp_id] DCN_amazonelectronics_x1_filter_attn_score_pre_v2,[dataset_id] AmazonElectronics_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.845699 - AUC: 0.841938 - logloss: 0.493722,[test] gAUC: 0.845699 - AUC: 0.841938 - logloss: 0.493722
 20240731-212100,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_v2 --gpu 1,[exp_id] DCN_amazonelectronics_x1_filter_cosine_v2,[dataset_id] AmazonElectronics_x1_filter_v2,[train] N.A.,[val] gAUC: 0.875615 - AUC: 0.877260 - logloss: 0.445024,[test] gAUC: 0.875615 - AUC: 0.877260 - logloss: 0.445024
 20240731-214106,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_pre_v2,[exp_id] DCN_amazonelectronics_x1_filter_cosine_pre_v2,[dataset_id] AmazonElectronics_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.873604 - AUC: 0.874998 - logloss: 0.449150,[test] gAUC: 0.873604 - AUC: 0.874998 - logloss: 0.449150
 20240731-214305,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_v2 --gpu 1,[exp_id] DCN_amazonelectronics_x1_filter_cosine_v2,[dataset_id] AmazonElectronics_x1_filter_v2,[train] N.A.,[val] gAUC: 0.875683 - AUC: 0.877560 - logloss: 0.444620,[test] gAUC: 0.875683 - AUC: 0.877560 - logloss: 0.444620
 20240801-102602,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_pre_v2,[exp_id] DCN_amazonelectronics_x1_filter_cosine_pre_v2,[dataset_id] AmazonElectronics_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.867736 - AUC: 0.869499 - logloss: 0.454910,[test] gAUC: 0.867736 - AUC: 0.869499 - logloss: 0.454910
 20240801-104521,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonelectronics_x1_filter_cosine_pre_v2,[exp_id] DCN_amazonelectronics_x1_filter_cosine_pre_v2,[dataset_id] AmazonElectronics_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.864171 - AUC: 0.866046 - logloss: 0.467607,[test] gAUC: 0.864171 - AUC: 0.866046 - logloss: 0.467607
 20240811-211709,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonbooks_x1_filter_cosine_v2,[exp_id] DCN_amazonbooks_x1_filter_cosine_v2,[dataset_id] AmazonBooks_x1_filter_v2,[train] N.A.,[val] gAUC: 0.929370 - AUC: 0.935387 - logloss: 0.337638,[test] gAUC: 0.929370 - AUC: 0.935387 - logloss: 0.337638
 20240812-163939,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonbooks_x1_id_only,[exp_id] DCN_amazonbooks_x1_id_only,[dataset_id] AmazonBooks_x1_id_only,[train] N.A.,[val] gAUC: 0.926075 - AUC: 0.933407 - logloss: 0.343550,[test] gAUC: 0.926075 - AUC: 0.933407 - logloss: 0.343550
 20240813-164803,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonbooks_x1_filter_attn_score_pre_v2,[exp_id] DCN_amazonbooks_x1_filter_attn_score_pre_v2,[dataset_id] AmazonBooks_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.930818 - AUC: 0.935576 - logloss: 0.331349,[test] gAUC: 0.930818 - AUC: 0.935576 - logloss: 0.331349
 20240905-211213,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonmovies_x1_id_only,[exp_id] DCN_amazonmovies_x1_id_only,[dataset_id] AmazonMovies_x1_id_only,[train] N.A.,[val] gAUC: 0.906228 - AUC: 0.913902 - logloss: 0.382899,[test] gAUC: 0.906228 - AUC: 0.913902 - logloss: 0.382899
 20240905-212744,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonmovies_x1_filter_cosine_pre_v2,[exp_id] DCN_amazonmovies_x1_filter_cosine_pre_v2,[dataset_id] AmazonMovies_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.905219 - AUC: 0.912370 - logloss: 0.382173,[test] gAUC: 0.905219 - AUC: 0.912370 - logloss: 0.382173
 20240905-220933,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonmovies_x1_filter_attn_score_pre_v2,[exp_id] DCN_amazonmovies_x1_filter_attn_score_pre_v2,[dataset_id] AmazonMovies_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.893304 - AUC: 0.900097 - logloss: 0.405327,[test] gAUC: 0.893304 - AUC: 0.900097 - logloss: 0.405327
 20240905-220956,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonmovies_x1_filter_cosine_v2 --gpu 1,[exp_id] DCN_amazonmovies_x1_filter_cosine_v2,[dataset_id] AmazonMovies_x1_filter_v2,[train] N.A.,[val] gAUC: 0.906357 - AUC: 0.913634 - logloss: 0.380427,[test] gAUC: 0.906357 - AUC: 0.913634 - logloss: 0.380427
 20240905-225215,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonmovies_x1_filter_attn_score_v2,[exp_id] DCN_amazonmovies_x1_filter_attn_score_v2,[dataset_id] AmazonMovies_x1_filter_v2,[train] N.A.,[val] gAUC: 0.894974 - AUC: 0.901425 - logloss: 0.404483,[test] gAUC: 0.894974 - AUC: 0.901425 - logloss: 0.404483
 20240921-173546,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_kkbox_x1_filter_cosine_v2,[exp_id] DCN_kkbox_x1_filter_cosine_v2,[dataset_id] KKBox_x1_filter_v2,[train] N.A.,[val] gAUC: 0.956623 - AUC: 0.962703 - logloss: 0.412896,[test] gAUC: 0.956623 - AUC: 0.962703 - logloss: 0.412896
 20240921-174623,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_kkbox_x1_filter_cosine_pre_v2,[exp_id] DCN_kkbox_x1_filter_cosine_pre_v2,[dataset_id] KKBox_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.956489 - AUC: 0.963068 - logloss: 0.348810,[test] gAUC: 0.956489 - AUC: 0.963068 - logloss: 0.348810
 20240921-181301,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_kkbox_x1_id_only,[exp_id] DCN_kkbox_x1_id_only,[dataset_id] KKBox_x1_id_only,[train] N.A.,[val] gAUC: 0.949420 - AUC: 0.959356 - logloss: 0.352118,[test] gAUC: 0.949420 - AUC: 0.959356 - logloss: 0.352118
 20240921-182644,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_kkbox_x1_filter_cosine_v2,[exp_id] DCN_kkbox_x1_filter_cosine_v2,[dataset_id] KKBox_x1_filter_v2,[train] N.A.,[val] gAUC: 0.956623 - AUC: 0.962703 - logloss: 0.412896,[test] gAUC: 0.956623 - AUC: 0.962703 - logloss: 0.412896
 20240921-183540,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_kkbox_x1_filter_cosine_pre_v2,[exp_id] DCN_kkbox_x1_filter_cosine_pre_v2,[dataset_id] KKBox_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.956723 - AUC: 0.963456 - logloss: 0.271658,[test] gAUC: 0.956723 - AUC: 0.963456 - logloss: 0.271658
 20240921-191234,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_kkbox_x1_filter_attn_score_v2,[exp_id] DCN_kkbox_x1_filter_attn_score_v2,[dataset_id] KKBox_x1_filter_v2,[train] N.A.,[val] gAUC: 0.974251 - AUC: 0.975396 - logloss: 0.234417,[test] gAUC: 0.974251 - AUC: 0.975396 - logloss: 0.234417
 20240921-194108,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_kkbox_x1_filter_attn_score_pre_v2,[exp_id] DCN_kkbox_x1_filter_attn_score_pre_v2,[dataset_id] KKBox_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.972678 - AUC: 0.973187 - logloss: 0.245041,[test] gAUC: 0.972678 - AUC: 0.973187 - logloss: 0.245041
 20240921-221236,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonmovies_x1_filter_cosine_pre_v2,[exp_id] DCN_amazonmovies_x1_filter_cosine_pre_v2,[dataset_id] AmazonMovies_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.905994 - AUC: 0.913019 - logloss: 0.382099,[test] gAUC: 0.905994 - AUC: 0.913019 - logloss: 0.382099
 20240921-224655,[command] python model_zoo/DCN/DCN_torch/run_expid.py --expid DCN_amazonmovies_x1_filter_attn_score_pre_v2,[exp_id] DCN_amazonmovies_x1_filter_attn_score_pre_v2,[dataset_id] AmazonMovies_x1_filter_pre_v2,[train] N.A.,[val] gAUC: 0.892844 - AUC: 0.899909 - logloss: 0.405422,[test] gAUC: 0.892844 - AUC: 0.899909 - logloss: 0.405422
